date,group,cockroach_id,video,experiment_type,left_stimulus,right_stimulus,time_left_shelter,time_right_shelter,time_open_area,percent_left,percent_right,percent_open,preferred_zone,preferred_stimulus,PI_stimulus,PI_total,PI_shelter,total_valid_time,valid_frames,total_frames,tracking_point,error
20250828,Group8,c03,Basler_c03_acA2040-90um (24827095)_20250828_114501142DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,0.0,0.5,40.5,0.0,1.2195121951219512,98.78048780487805,right_shelter,Nothing,1.0,0.012195121951219513,1.0,41.0,82,1201,body_end,
20250828,Group8,c04,Basler_c04_acA2040-90um (24827095)_20250828_124219702DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,0.0,0.0,426.5,0.0,0.0,100.0,open_area,open_area,0.0,0.0,0.0,426.5,853,1201,body_end,
20250831,Group9,c00,Basler_c00_acA2040-90um (24827095)_20250831_133735106DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,1.0,0.0,422.0,0.2364066193853428,0.0,99.76359338061465,left_shelter,Feces,1.0,0.002364066193853428,1.0,423.0,846,1201,body_end,
20250831,Group9,c01,Basler_c01_acA2040-90um (24827095)_20250831_141329974DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,2.0,0.0,535.5,0.37209302325581395,0.0,99.62790697674419,left_shelter,Feces,1.0,0.0037209302325581397,1.0,537.5,1075,1201,body_end,
20250831,Group9,c02,Basler_c02_acA2040-90um (24827095)_20250831_131313168DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,0.0,1.5,292.5,0.0,0.5102040816326531,99.48979591836735,right_shelter,Feces,1.0,0.00510204081632653,1.0,294.0,588,1201,body_end,
20250831,Group9,c03,Basler_c03_acA2040-90um (24827095)_20250831_142908253DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,0.0,0.5,40.5,0.0,1.2195121951219512,98.78048780487805,right_shelter,Feces,1.0,0.012195121951219513,1.0,41.0,82,1201,body_end,
20250831,Group9,c04,Basler_c04_acA2040-90um (24827095)_20250831_135712646DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,0.0,0.0,426.5,0.0,0.0,100.0,open_area,open_area,0.0,0.0,0.0,426.5,853,1201,body_end,
20250830,Group10,c00,Basler_c00_acA2040-90um (24827095)_20250830_150510999DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,1.0,0.0,422.0,0.2364066193853428,0.0,99.76359338061465,left_shelter,Feces,1.0,0.002364066193853428,1.0,423.0,846,1201,body_end,
20250830,Group10,c01,Basler_c01_acA2040-90um (24827095)_20250830_160029679DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,2.0,0.0,535.5,0.37209302325581395,0.0,99.62790697674419,left_shelter,Nothing,1.0,0.0037209302325581397,1.0,537.5,1075,1201,body_end,
20250830,Group10,c02,Basler_c02_acA2040-90um (24827095)_20250830_161600473DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,0.0,1.5,292.5,0.0,0.5102040816326531,99.48979591836735,right_shelter,Feces,1.0,0.00510204081632653,1.0,294.0,588,1201,body_end,
20250830,Group10,c03,Basler_c03_acA2040-90um (24827095)_20250830_154112412DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,0.0,0.5,40.5,0.0,1.2195121951219512,98.78048780487805,right_shelter,Nothing,1.0,0.012195121951219513,1.0,41.0,82,1201,body_end,
20250830,Group10,c04,Basler_c04_acA2040-90um (24827095)_20250830_152322462DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,0.0,0.0,426.5,0.0,0.0,100.0,open_area,open_area,0.0,0.0,0.0,426.5,853,1201,body_end,
