video,date,batch,experiment_type,left_stimulus,right_stimulus,animal_id,error,time_right_s,percent_right_s,frames_right_s,time_top_ns,percent_top_ns,frames_top_ns,time_bottom_ns,percent_bottom_ns,frames_bottom_ns,time_left_s,percent_left_s,frames_left_s,preferred_quadrant,preferred_stimulus_or_quadrant,PI_stimulus,PI_shelter_total,PI_left_right,PI_top_bottom,total_frames,valid_frames,valid_time,tracking_efficiency,avg_likelihood,tracking_point
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c04,,154.5,50.82236842105263,309,128.0,42.10526315789473,256,101.5,33.38815789473684,203,63.0,20.723684210526315,126,right_s,Nothing,-0.4206896551724138,-0.039473684210526314,-0.4206896551724138,0.11546840958605664,1201,608,304.0,50.62447960033306,0.9580487703022204,body_end
Basler_G10_acA2040-90um (24827095)_20250831_150526766DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-31,10,Feces/Nothing,Feces,Nothing,individual_c01,,92.0,37.32251521298174,184,61.5,24.94929006085193,123,50.0,20.28397565922921,100,84.5,34.27991886409736,169,right_s,Nothing,-0.042492917847025496,0.26369168356997974,-0.042492917847025496,0.1031390134529148,1201,493,246.5,41.04912572855953,0.9632224185471603,body_end
Basler_G10_acA2040-90um (24827095)_20250831_150526766DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-31,10,Feces/Nothing,Feces,Nothing,individual_c03,,81.0,28.421052631578945,162,33.0,11.578947368421053,66,74.5,26.14035087719298,149,135.5,47.54385964912281,271,left_s,Feces,0.2517321016166282,0.3824561403508772,0.2517321016166282,-0.386046511627907,1201,570,285.0,47.460449625312236,0.9498817845394737,body_end
Basler_G10_acA2040-90um (24827095)_20250831_150526766DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-31,10,Feces/Nothing,Feces,Nothing,individual_c02,,168.5,45.234899328859065,337,82.5,22.14765100671141,165,91.0,24.42953020134228,182,146.5,39.328859060402685,293,right_s,Nothing,-0.06984126984126984,0.37986577181208053,-0.06984126984126984,-0.04899135446685879,1201,745,372.5,62.031640299750215,0.957575896602349,body_end
Basler_G10_acA2040-90um (24827095)_20250831_150526766DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-31,10,Feces/Nothing,Feces,Nothing,individual_c00,,144.5,38.430851063829785,289,71.0,18.882978723404257,142,78.5,20.877659574468087,157,151.0,40.159574468085104,302,left_s,Feces,0.021996615905245348,0.3882978723404255,0.021996615905245348,-0.05016722408026756,1201,752,376.0,62.614487926727726,0.9668663511884973,body_end
Basler_G10_acA2040-90um (24827095)_20250831_150526766DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-31,10,Feces/Nothing,Feces,Nothing,individual_c04,,97.0,29.52815829528158,194,40.5,12.32876712328767,81,133.5,40.63926940639269,267,119.0,36.22526636225266,238,bottom_ns,bottom_ns,0.10185185185185185,0.1278538812785388,0.10185185185185185,-0.5344827586206896,1201,657,328.5,54.70441298917569,0.9628304259417808,body_end
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c01,,256.5,56.00436681222707,513,59.0,12.882096069868995,118,174.0,37.99126637554585,348,94.5,20.633187772925766,189,right_s,Nothing,-0.46153846153846156,0.2576419213973799,-0.46153846153846156,-0.49356223175965663,1201,916,458.0,76.26977518734388,0.9794506089656113,body_end
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c03,,166.5,47.368421052631575,333,68.5,19.487908961593174,137,139.5,39.68705547652916,279,46.5,13.229018492176387,93,right_s,Nothing,-0.5633802816901409,0.01422475106685633,-0.5633802816901409,-0.34134615384615385,1201,703,351.5,58.5345545378851,0.9783767114153628,body_end
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c02,,184.5,43.565525383707204,369,108.5,25.6198347107438,217,145.5,34.35655253837072,291,119.5,28.217237308146398,239,right_s,Nothing,-0.2138157894736842,0.1180637544273908,-0.2138157894736842,-0.14566929133858267,1201,847,423.5,70.52456286427977,0.9759508513503542,body_end
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c00,,142.0,40.340909090909086,284,98.0,27.84090909090909,196,96.0,27.27272727272727,192,91.0,25.85227272727273,182,right_s,Nothing,-0.21888412017167383,0.11079545454545454,-0.21888412017167383,0.010309278350515464,1201,704,352.0,58.61781848459617,0.9709833318536932,body_end
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c04,,227.5,59.244791666666664,455,37.5,9.765625,75,266.0,69.27083333333334,532,49.0,12.760416666666666,98,bottom_ns,bottom_ns,-0.6455696202531646,-0.0703125,-0.6455696202531646,-0.7528830313014827,1201,768,384.0,63.94671107410491,0.9797350565592448,body_end
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c01,,118.0,33.66619115549215,236,72.5,20.684736091298145,145,74.0,21.112696148359486,148,145.0,41.36947218259629,290,left_s,Feces,0.10266159695817491,0.33238231098430815,0.10266159695817491,-0.010238907849829351,1201,701,350.5,58.368026644462944,0.9676195000445792,body_end
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c03,,13.0,14.857142857142858,26,31.0,35.42857142857142,62,26.0,29.714285714285715,52,36.5,41.714285714285715,73,left_s,Feces,0.47474747474747475,-0.08571428571428572,0.47474747474747475,0.08771929824561403,1201,175,87.5,14.571190674437966,0.9658370535714286,body_end
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c02,,41.0,65.07936507936508,82,3.5,5.555555555555555,7,5.5,8.73015873015873,11,16.5,26.190476190476193,33,right_s,Iso,-0.4260869565217391,0.7698412698412699,-0.4260869565217391,-0.2222222222222222,1201,126,63.0,10.491257285595337,0.9723578559027778,body_end
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c00,,128.0,33.551769331585845,256,90.5,23.722149410222805,181,66.5,17.431192660550458,133,149.0,39.05635648754915,298,left_s,Feces,0.07581227436823104,0.3145478374836173,0.07581227436823104,0.15286624203821655,1201,763,381.5,63.53039134054954,0.9618878245822412,body_end
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c04,,117.0,41.86046511627907,234,54.0,19.32021466905188,108,66.5,23.792486583184257,133,90.5,32.379248658318424,181,right_s,Iso,-0.12771084337349398,0.3112701252236136,-0.12771084337349398,-0.1037344398340249,1201,559,279.5,46.54454621149042,0.9658447702370304,body_end
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c01,,165.0,43.53562005277045,330,74.0,19.525065963060687,148,81.5,21.503957783641162,163,131.0,34.56464379947229,262,right_s,Feces,-0.11486486486486487,0.370712401055409,-0.11486486486486487,-0.04823151125401929,1201,758,379.0,63.11407160699417,0.9630600418453166,body_end
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c03,,158.5,53.456998313659355,317,54.0,18.21247892074199,108,55.0,18.54974704890388,110,84.5,28.499156829679595,169,right_s,Feces,-0.3045267489711934,0.45193929173693087,-0.3045267489711934,-0.009174311926605505,1201,593,296.5,49.37552039966695,0.9721160940134908,body_end
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c02,,128.0,53.222453222453225,256,57.0,23.7006237006237,114,47.0,19.542619542619544,94,48.5,20.16632016632017,97,right_s,Feces,-0.45042492917847027,0.30145530145530147,-0.45042492917847027,0.09615384615384616,1201,481,240.5,40.049958368026644,0.9736683423206861,body_end
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c00,,134.0,33.88116308470291,268,127.5,32.23767383059418,255,65.0,16.43489254108723,130,179.0,45.259165613147914,358,left_s,Nothing,0.14376996805111822,0.30467762326169406,0.14376996805111822,0.3246753246753247,1201,791,395.5,65.86178184845963,0.9738297299699747,body_end
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c04,,107.5,37.13298791018998,215,53.5,18.48013816925734,107,52.5,18.134715025906736,105,122.5,42.31433506044905,245,left_s,Nothing,0.06521739130434782,0.4283246977547496,0.06521739130434782,0.009433962264150943,1201,579,289.5,48.2098251457119,0.9626747355354058,body_end
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c01,,118.0,42.83121597096189,236,30.5,11.070780399274046,61,105.5,38.294010889292196,211,74.0,26.860254083484573,148,right_s,Nothing,-0.22916666666666666,0.20326678765880218,-0.22916666666666666,-0.5514705882352942,1201,551,275.5,45.87843463780183,0.9516796520530852,body_end
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c03,,107.0,28.763440860215056,214,49.0,13.172043010752688,98,130.0,34.946236559139784,260,128.0,34.40860215053764,256,bottom_ns,bottom_ns,0.08936170212765958,0.15053763440860216,0.08936170212765958,-0.45251396648044695,1201,744,372.0,61.94837635303914,0.9447087113575269,body_end
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c02,,66.0,16.541353383458645,132,21.5,5.3884711779448615,43,226.5,56.766917293233085,453,157.0,39.34837092731829,314,bottom_ns,bottom_ns,0.4080717488789238,-0.06265664160401002,0.4080717488789238,-0.8266129032258065,1201,798,399.0,66.44462947543714,0.9507307086074561,body_end
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c00,,90.0,26.200873362445414,180,30.0,8.73362445414847,60,46.5,13.537117903930133,93,205.0,59.67976710334789,410,left_s,Iso,0.3898305084745763,0.636098981077147,0.3898305084745763,-0.21568627450980393,1201,687,343.5,57.20233139050791,0.9511448667212519,body_end
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c04,,79.0,31.10236220472441,158,38.0,14.960629921259844,76,55.5,21.8503937007874,111,109.5,43.110236220472444,219,left_s,Iso,0.16180371352785147,0.37401574803149606,0.16180371352785147,-0.18716577540106952,1201,508,254.0,42.298084929225645,0.9437717227485236,body_end
