video,date,batch,experiment_type,left_stimulus,right_stimulus,animal_id,error,time_right_s,percent_right_s,frames_right_s,time_top_ns,percent_top_ns,frames_top_ns,time_bottom_ns,percent_bottom_ns,frames_bottom_ns,time_left_s,percent_left_s,frames_left_s,preferred_quadrant,preferred_stimulus_or_quadrant,PI_stimulus,PI_shelter_total,PI_left_right,PI_top_bottom,total_frames,tracked_frames,tracking_point
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c02,,66.0,10.990840965861782,132,22.0,3.6636136552872607,44,228.5,38.05162364696086,457,175.0,29.142381348875933,350,bottom_ns,bottom_ns,0.45228215767634855,-0.01582014987510408,0.45228215767634855,-0.8243512974051896,1201,840,body_end
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c01,,121.0,20.149875104079936,242,30.5,5.07910074937552,61,106.0,17.65195670274771,212,77.0,12.822647793505412,154,right_s,Nothing,-0.2222222222222222,0.10241465445462115,-0.2222222222222222,-0.5531135531135531,1201,563,body_end
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c00,,143.0,23.813488759367193,286,98.0,16.319733555370526,196,96.5,16.069941715237302,193,91.0,15.154038301415488,182,right_s,Nothing,-0.2222222222222222,0.06577851790174855,-0.2222222222222222,0.007712082262210797,1201,710,body_end
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c03,,167.0,27.81015820149875,334,69.5,11.5736885928393,139,140.5,23.397169025811824,281,46.5,7.743547044129892,93,right_s,Nothing,-0.5644028103044496,0.005828476269775187,-0.5644028103044496,-0.3380952380952381,1201,709,body_end
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c04,,230.5,38.38467943380516,461,37.5,6.244796003330558,75,268.0,44.62947543713572,536,49.0,8.159866777685263,98,bottom_ns,bottom_ns,-0.6493738819320215,-0.04329725228975854,-0.6493738819320215,-0.7545008183306056,1201,776,body_end
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c02,,186.0,30.97418817651957,372,109.0,18.151540383014154,218,147.5,24.56286427976686,295,123.0,20.48293089092423,246,right_s,Nothing,-0.20388349514563106,0.08742714404662781,-0.20388349514563106,-0.15009746588693956,1201,859,body_end
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c01,,261.5,43.54704412989175,523,59.0,9.825145711906744,118,174.5,29.059117402164862,349,94.5,15.736885928393004,189,right_s,Nothing,-0.4691011235955056,0.20399666944213155,-0.4691011235955056,-0.49464668094218417,1201,926,body_end
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c00,,225.0,37.468776019983345,450,122.5,20.399666944213156,245,128.0,21.31557035803497,256,171.0,28.476269775187347,342,right_s,Nothing,-0.13636363636363635,0.24229808492922564,-0.13636363636363635,-0.021956087824351298,1201,914,body_end
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c03,,173.0,28.80932556203164,346,143.0,23.813488759367193,286,71.0,11.823480432972524,142,78.0,12.98917568692756,156,right_s,Nothing,-0.3784860557768924,0.061615320566194835,-0.3784860557768924,0.3364485981308411,1201,714,body_end
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c04,,161.5,26.894254787676935,323,139.0,23.1473771856786,278,109.5,18.23480432972523,219,75.0,12.489592006661116,150,right_s,Nothing,-0.3657505285412262,-0.019983347210657785,-0.3657505285412262,0.11871227364185111,1201,657,body_end
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c02,,226.5,37.71856786011657,453,157.0,26.144879267277272,314,106.5,17.735220649458785,213,114.0,18.984179850124896,228,right_s,Nothing,-0.3303964757709251,0.12822647793505412,-0.3303964757709251,0.19165085388994307,1201,843,body_end
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c01,,176.5,29.392173189009156,353,67.0,11.15736885928393,134,170.0,28.309741881765195,340,133.5,22.231473771856784,267,right_s,Nothing,-0.13870967741935483,0.12156536219816819,-0.13870967741935483,-0.4345991561181435,1201,794,body_end
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c00,,130.0,21.64862614487927,260,94.5,15.736885928393004,189,67.0,11.15736885928393,134,155.5,25.89508742714405,311,left_s,Feces,0.0893169877408056,0.20649458784346378,0.0893169877408056,0.17027863777089783,1201,786,body_end
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c03,,13.0,2.164862614487927,26,31.5,5.245628642797668,63,26.5,4.412989175686928,53,38.5,6.411323896752706,77,left_s,Feces,0.49514563106796117,-0.010824313072439634,0.49514563106796117,0.08620689655172414,1201,180,body_end
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c04,,118.0,19.65029142381349,236,54.5,9.075770191507077,109,67.5,11.240632805995004,135,93.0,15.487094088259784,186,right_s,Iso,-0.11848341232227488,0.1482098251457119,-0.11848341232227488,-0.10655737704918032,1201,568,body_end
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c02,,41.0,6.827643630308076,82,3.5,0.5828476269775187,7,5.5,0.9159034138218152,11,16.5,2.7477102414654455,33,right_s,Iso,-0.4260869565217391,0.08076602830974189,-0.4260869565217391,-0.2222222222222222,1201,126,body_end
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c01,,119.0,19.816819317235637,238,73.0,12.156536219816818,146,74.5,12.406328059950042,149,149.0,24.812656119900083,298,left_s,Feces,0.11194029850746269,0.2006661115736886,0.11194029850746269,-0.010169491525423728,1201,711,body_end
