date,group,cockroach_id,video,experiment_type,left_stimulus,right_stimulus,mean_speed_cm_s,max_speed_cm_s,std_speed_cm_s,median_speed_cm_s,total_distance_cm,net_displacement_cm,straightness_index,mean_velocity_x,mean_velocity_y,movement_frames,stationary_frames,active_frames,mean_speed_left_shelter,max_speed_left_shelter,mean_speed_right_shelter,max_speed_right_shelter,mean_speed_open_area,max_speed_open_area,error
20250829,Group7,c02,Basler_c02_acA2040-90um (24827095)_20250829_123306184DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,1.8521460406022001,95.67573998851027,6.504281012310883,0.09273416535077843,1111.2876243613202,29.654172509299404,0.026684516104768345,-0.048641184523809514,0.008759535714285758,1200,607,593,2.2014518100518266,4.114900345279039,3.402808714211768,5.058500921076623,1.831911713384481,95.67573998851027,
20250829,Group7,c03,Basler_c03_acA2040-90um (24827095)_20250829_121529352DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,5.111925701466559,67.97643365086272,8.052710730123271,2.0108302869806254,3067.1554208799353,31.2005577536456,0.010172473667700374,0.021603598214285712,0.047300964285714286,1200,381,819,5.984151065099687,10.137054659107577,0.0,0.0,5.032305442714193,67.97643365086272,
20250829,Group7,c04,Basler_c04_acA2040-90um (24827095)_20250829_113153034DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,7.730260163580541,94.28247451957337,13.568995955235351,2.5230037940519328,4638.156098148324,23.739554587280015,0.005118317297849781,-0.039561766071428556,-0.0005736130952381065,1200,252,948,0.7192178425234337,4.514235242055099,1.6291746681235202,3.1914352883450294,7.760619961800295,94.28247451957337,
20250828,Group8,c00,Basler_c00_acA2040-90um (24827095)_20250828_112809766DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,4.665744066367745,107.48604689218973,11.675561126626942,2.5594808195887175,2799.446439820647,29.522254601993886,0.010545747252762335,0.023777047619047635,0.04307739285714281,1200,253,947,1.8675222329848153,3.857405209043986,1.6467592101678088,8.096671790513708,4.674283282936679,107.48604689218973,
20250828,Group8,c01,Basler_c01_acA2040-90um (24827095)_20250828_122245978DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,8.502282243652767,113.84988823692116,12.939279819721666,4.464553437387014,5101.36934619166,51.31253925979519,0.010058581486185015,-0.00713576785714278,-0.0852226785714286,1200,274,926,0.1516174353655682,0.16471257930134886,0.0,0.0,8.470776979803016,113.84988823692116,
20250828,Group8,c02,Basler_c02_acA2040-90um (24827095)_20250828_120211006DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,4.119784585564461,111.59379610435194,11.290051615569876,0.6849873088433202,2471.870751338676,24.974922944425764,0.010103652438502395,-0.04133172976190477,0.004931333333333346,1200,450,750,0.0,0.0,0.0,0.0,4.119784585564461,111.59379610435194,
20250828,Group8,c03,Basler_c03_acA2040-90um (24827095)_20250828_114501142DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,1.174424363698365,101.20129412802352,5.822241741179341,0.022049421290914813,704.654618219019,29.833735746555554,0.04233809723969297,0.045441690476190455,-0.020184619047619038,1200,858,342,0.0,0.0,2.1424928513118155,4.443576922551308,1.1654382458096841,101.20129412802352,
20250828,Group8,c04,Basler_c04_acA2040-90um (24827095)_20250828_124219702DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,8.84280280420802,91.30986823861747,9.067091785184703,7.682993230908502,5305.681682524812,12.54375725493115,0.0023642121796047817,-0.0188276607142857,0.009087958333333373,1200,100,1100,4.530422982583069,15.957536819504593,2.7460171860632387,4.487175658575931,8.790232152718753,91.30986823861747,
20250831,Group9,c00,Basler_c00_acA2040-90um (24827095)_20250831_133735106DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,4.038973403222501,25.632632332320505,5.622657827822236,1.0137857429437818,2423.3840419335006,57.67746544934008,0.0238003818013599,0.061093282142857176,0.07421870714285712,1200,373,827,0.0,0.0,0.0,0.0,4.038973403222501,25.632632332320505,
20250831,Group9,c01,Basler_c01_acA2040-90um (24827095)_20250831_141329974DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,7.029496032371048,116.52281810156971,10.871258660371481,3.4875971910358166,4217.697619422629,31.97270361625137,0.007580605937470735,-0.0013997380952381277,0.05326945238095236,1200,320,880,0.0,0.0,4.264670998477877,10.813853538906402,6.955836992378843,116.52281810156971,
20250831,Group9,c02,Basler_c02_acA2040-90um (24827095)_20250831_131313168DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,3.9088639710064186,90.87785990988826,5.613511231939758,2.098332802471435,2345.318382603851,30.977581091586586,0.013208262605776464,0.019366511904761873,-0.04785940892857143,1200,333,867,0.0,0.0,0.0,0.0,3.9088639710064186,90.87785990988826,
20250831,Group9,c03,Basler_c03_acA2040-90um (24827095)_20250831_142908253DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,8.890877492601836,103.56455493633428,17.868864110536762,2.5056865219774145,5334.526495561103,19.025665535479202,0.0035665143947284906,0.03136701190476188,0.004647505952380949,1200,312,888,0.0,0.0,3.8810729731261286,4.374990168596823,8.903766771130618,103.56455493633428,
20250831,Group9,c04,Basler_c04_acA2040-90um (24827095)_20250831_135712646DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,8.806746676846814,99.03975949911022,9.69760083809093,6.782996427014265,5284.048006108089,39.24389293699875,0.007426861544716251,-0.06536690952380954,0.002275047619047642,1200,194,1006,1.17375975997344,7.197417362748555,0.0,0.0,8.863545640494953,99.03975949911022,
20250830,Group10,c00,Basler_c00_acA2040-90um (24827095)_20250830_150510999DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,8.700004453650939,99.76607564144271,13.147830197404083,4.9589517806801595,5220.002672190564,32.803200738733366,0.006284134855618295,0.04873113690476185,-0.024785157142857176,1200,192,1008,0.5970318227144206,1.539850994479662,3.728758351646741,5.899487215504076,8.6822319468875,99.76607564144271,
20250830,Group10,c01,Basler_c01_acA2040-90um (24827095)_20250830_160029679DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,12.556458186372252,120.36643145367532,19.194472728474032,8.650423471193896,7533.874911823352,9.857801536042667,0.00130846365932785,-0.015746720238095206,-0.00468773214285718,1200,129,1071,5.3468146180072615,6.192466459229815,10.017686070772488,10.017686070772488,12.570362717648795,120.36643145367532,
20250830,Group10,c02,Basler_c02_acA2040-90um (24827095)_20250830_161600473DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,7.284138016512846,114.56689282228163,10.835697149855404,4.403305819755547,4370.482809907708,27.99493184748452,0.006405455201430181,-0.046421829761904766,-0.004690755952380965,1200,206,994,2.5988198452787783,4.082104534448104,4.077232811968989,4.7506646976496265,7.303604348583947,114.56689282228163,
20250830,Group10,c03,Basler_c03_acA2040-90um (24827095)_20250830_154112412DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,9.55536739016566,98.18266033579035,12.06487344008607,6.437080361415635,5733.220434099395,30.96430039677008,0.0054008564213934886,0.04057117261904762,-0.03189482202380956,1200,155,1045,0.0,0.0,4.143291415389026,5.9465778561870275,9.547436915650202,98.18266033579035,
20250830,Group10,c04,Basler_c04_acA2040-90um (24827095)_20250830_152322462DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,0.08019481708281896,6.6320385510106785,0.5372380496138234,0.018621049358925997,48.11689024969138,0.23769630339270612,0.004939976423231771,-0.0002949446428571414,0.0002644821428571509,1200,1093,107,0.0,0.0,0.0,0.0,0.08019481708281896,6.6320385510106785,
