date,group,cockroach_id,video,experiment_type,left_stimulus,right_stimulus,mean_speed_cm_s,max_speed_cm_s,median_speed_cm_s,std_speed_cm_s,total_distance_cm,net_displacement_cm,straightness_index,movement_frames,stationary_frames,active_frames,activity_ratio,total_frames,valid_frames,tracking_efficiency,avg_segment_length,max_segment_length,tracking_quality,tracking_point,error
20250826,Group6,c04,Basler_c04_acA2040-90um (24827095)_20250826_144359069DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,12.746657372586599,78.35579419025866,6.640262225060503,14.419040659284528,5430.076040721891,24.751961916838326,0.004558308526660655,852,200,652,0.7652582159624414,1201,853,0.7102414654454621,11.527027027027026,55,Medium,body_end,
20250829,Group7,c00,Basler_c00_acA2040-90um (24827095)_20250829_125126265DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,3.952979866564285,80.40805001097556,1.8509301736468413,6.721846544739279,1440.8611613626817,27.52045000764682,0.019100001267033664,729,183,546,0.7489711934156379,1201,730,0.607826810990841,5.177304964539007,78,Medium,body_end,
20250829,Group7,c01,Basler_c01_acA2040-90um (24827095)_20250829_115401362DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,3.920620306283252,62.23975631666922,0.19528240060936053,6.499173764987432,1699.5889027737899,39.562018176235206,0.023277404383888704,867,357,510,0.5882352941176471,1201,868,0.7227310574521232,12.764705882352942,286,Medium,body_end,
20250829,Group7,c02,Basler_c02_acA2040-90um (24827095)_20250829_123306184DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,1.5463145992346459,54.02646631825757,0.06082463291618328,3.744614439786635,792.486232107756,29.654172509299404,0.03741916428053133,1025,574,451,0.44,1201,1026,0.8542880932556203,14.450704225352112,208,High,body_end,
20250829,Group7,c03,Basler_c03_acA2040-90um (24827095)_20250829_121529352DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,5.462864310648087,60.32404239268868,2.0802980373304893,8.075710444840864,2654.95205497497,24.212125013029766,0.00911960913480904,972,340,632,0.6502057613168725,1201,973,0.8101582014987511,9.35576923076923,208,High,body_end,
20250829,Group7,c04,Basler_c04_acA2040-90um (24827095)_20250829_113153034DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,31.03459072771287,117.04064459048438,4.389705546680492,41.278627017635664,1768.9716714796339,40.64192875712611,0.022974889543104827,114,38,76,0.6666666666666666,1201,115,0.09575353871773522,1.8548387096774193,14,Low,body_end,
20250828,Group8,c00,Basler_c00_acA2040-90um (24827095)_20250828_112809766DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,4.186588882140092,64.41440425761833,2.739077743269342,6.003648104673669,1798.1399248791693,28.82313286377288,0.016029415989809427,859,187,672,0.7823050058207218,1201,860,0.7160699417152373,7.889908256880734,80,Medium,body_end,
20250828,Group8,c01,Basler_c01_acA2040-90um (24827095)_20250828_122245978DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,7.708147408303836,44.502925465163926,4.597490090705221,8.645506872935105,4266.459590496173,51.31253925979519,0.012026960099211377,1107,256,851,0.7687443541102078,1201,1108,0.922564529558701,20.51851851851852,119,High,body_end,
20250828,Group8,c02,Basler_c02_acA2040-90um (24827095)_20250828_120211006DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,4.628650657629741,63.26511523284364,2.8202524908989948,6.673536042680748,1249.7356775600304,24.809642356218006,0.019851911729571542,540,92,448,0.8296296296296296,1201,541,0.4504579517069109,5.75531914893617,53,Low,body_end,
20250828,Group8,c03,Basler_c03_acA2040-90um (24827095)_20250828_114501142DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,0.8986974568018279,94.8008288327635,0.01586676138462593,5.541681603464145,405.76190174602533,29.737891700742928,0.07328901893642169,903,825,78,0.08637873754152824,1201,904,0.7527060782681099,18.08,423,Medium,body_end,
