video,date,batch,experiment_type,left_shelter_odor,right_shelter_odor,animal_id,tracking_efficiency,avg_likelihood,valid_frames,total_frames,percent_frames_analyzed,avg_segment_length,max_segment_length,min_segment_length,num_segments,tracking_quality,mean_speed_cm_s,max_speed_cm_s,min_speed_cm_s,median_speed_cm_s,std_speed_cm_s,total_distance_cm,net_displacement_cm,straightness_index,mean_step_length_cm,mean_velocity_x,mean_velocity_y,std_velocity_x,std_velocity_y,stationary_frames,slow_frames,medium_frames,fast_frames,total_movement_frames,percent_stationary,percent_slow,percent_medium,percent_fast,activity_ratio,error
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c01,41.04912572855953,0.9635710493788032,493,1201,41.04912572855953,4.93,23,1,100,Poor,13.476942901823442,123.0299429752517,0.005532868157417113,2.0057696379988235,24.784269129012053,3315.3279538485667,54.088566854960376,0.01631469574289692,6.738471450911722,0.21235729620708693,0.05699274681171048,21.646400944575014,18.0906873443374,123,95,44,230,492,25.0,19.308943089430894,8.94308943089431,46.7479674796748,0.75,
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c02,27.726894254787677,0.9521762973911412,333,1201,27.726894254787677,5.741379310344827,22,1,58,Poor,8.146970007632074,122.26844522622598,0.0034158243954225363,0.6350552106796916,18.115821426302066,1352.3970212669244,45.58737703715354,0.03370857545548815,4.073485003816037,0.27388618981366303,0.020100040402962243,17.325082497209277,9.71196195746356,109,66,16,141,332,32.831325301204814,19.879518072289155,4.819277108433735,42.46987951807229,0.6716867469879518,
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c00,61.94837635303914,0.9632568359375,744,1201,61.94837635303914,6.2521008403361344,51,1,119,Low,15.244623154645245,123.75005954508562,0.00045774291114699663,3.164772957802667,25.623665097985914,5663.377501950708,37.06479869478841,0.006544645608035437,7.622311577322622,0.05579119291564094,0.08271352118470301,23.92181737769959,17.796276221307753,210,113,44,376,743,28.263795423956932,15.208613728129205,5.921938088829071,50.6056527590848,0.7173620457604307,
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c04,50.707743547044124,0.9658299338054187,609,1201,50.707743547044124,6.151515151515151,30,1,99,Low,17.080646045479288,122.26169945106285,0.0011104031080910535,4.994766363916532,27.998574906674534,5192.516397825702,62.09869950864528,0.011959268830551656,8.540323022739642,-0.19377596575514702,-0.06463699054000972,25.88918365300143,20.133978962225154,148,82,42,336,608,24.342105263157894,13.486842105263158,6.907894736842106,55.26315789473685,0.756578947368421,
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c03,28.642797668609493,0.9706122819767442,344,1201,28.642797668609493,3.8222222222222224,21,1,90,Poor,20.756408280154776,118.29091266662769,0.0015687971314445844,9.675778754744112,28.697908952419514,3559.7240200465435,29.70241346685842,0.008344021418399189,10.378204140077386,0.1461930535128593,0.09286027469023307,25.78646180202633,24.278114737906723,75,26,20,222,343,21.865889212827987,7.580174927113703,5.830903790087463,64.72303206997084,0.7813411078717201,
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c01,63.11407160699417,0.9630600418453166,758,1201,63.11407160699417,6.162601626016261,46,1,123,Low,15.950014792498862,123.85725398056861,0.0018915724407861862,5.405085877256158,27.5837119748716,6037.08059896082,62.24533822470499,0.010310503099034234,7.975007396249431,0.1634094208045871,-0.01849443558410206,24.15413297243115,20.780157695762725,111,91,80,475,757,14.663143989431967,12.021136063408191,10.568031704095112,62.74768824306472,0.8533685601056803,
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c02,40.049958368026644,0.9736683423206861,481,1201,40.049958368026644,7.287878787878788,46,1,66,Poor,8.249273861437077,122.49519924711608,0.00031781399360896574,2.4064224722614327,16.952202959932162,1979.8257267448987,20.776250399580658,0.010493979403803195,4.124636930718539,0.0776940482003348,-0.0381785710652669,13.295291880412913,13.366204557836669,119,76,56,229,480,24.791666666666668,15.833333333333332,11.666666666666666,47.708333333333336,0.7520833333333333,
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c00,65.86178184845963,0.9738297299699747,791,1201,65.86178184845963,7.91,46,1,100,Low,14.377894481026699,120.86025568016684,0.0009983607700892857,5.109276861155191,24.91805315013461,5679.268320005545,61.929225986225276,0.010904437419883131,7.1889472405133485,0.14164475066752386,-0.06721329369984753,23.60973913594415,16.437422534293418,110,99,97,484,790,13.924050632911392,12.531645569620252,12.278481012658228,61.26582278481013,0.8607594936708861,
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c04,48.2098251457119,0.9626747355354058,579,1201,48.2098251457119,5.676470588235294,20,1,102,Poor,11.96832376720225,123.5895418793084,0.0003853549457412333,4.440576686034493,22.5086258775229,3458.8455687214505,11.9553368075582,0.0034564529031509915,5.984161883601125,0.016813890096048896,0.03779682757179154,19.777427034305564,16.085107437829457,121,73,62,322,578,20.93425605536332,12.629757785467127,10.726643598615917,55.70934256055363,0.7906574394463668,
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c03,49.37552039966695,0.9721160940134908,593,1201,49.37552039966695,9.564516129032258,49,1,62,Poor,7.2181924753348286,122.20242243323273,0.0011601595548494984,3.1444287988235438,13.239608401805478,2136.5849726991096,59.78348439426646,0.027980859716870074,3.609096237667415,0.20194028243134854,-0.003535605765677859,10.426231681431606,10.89231076452898,108,98,86,300,592,18.243243243243242,16.554054054054053,14.527027027027026,50.67567567567568,0.8175675675675675,
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c01,51.294903926482874,0.9666235112988599,614,1197,51.294903926482874,4.582089552238806,32,1,134,Low,17.45386408073378,123.48419815431734,0.00774025754342239,6.113528609582561,28.676221284895092,5349.609340744903,51.25222026292621,0.00958055383083162,8.72693204036689,-0.16111641223545659,-0.04475774433862296,28.297026649651148,18.0613775655115,80,93,68,372,613,13.050570962479608,15.171288743882544,11.092985318107667,60.685154975530175,0.8694942903752039,
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c02,29.406850459482037,0.9675417813387784,352,1197,29.406850459482037,5.333333333333333,17,1,66,Poor,14.872938587042304,117.80746769897742,0.0048108307994566115,4.024319893817924,27.230740086234363,2610.2007220259243,51.02996356394724,0.019550206669294,7.436469293521151,-0.281539668578853,-0.07267764335635417,23.17540175875674,20.628468546001436,65,49,46,191,351,18.51851851851852,13.96011396011396,13.105413105413104,54.41595441595442,0.8148148148148148,
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c00,53.63408521303258,0.9686838310455608,642,1197,53.63408521303258,4.397260273972603,21,1,146,Low,19.048244199352528,122.24750626165748,0.005301233632067438,8.234474911070885,28.814726762121424,6104.962265892485,21.93096572015525,0.003592317980846546,9.524122099676264,0.020560284778857622,0.06526543447427785,26.613747554145622,22.018806604260924,73,67,71,430,641,11.388455538221528,10.452418096723868,11.076443057722308,67.08268330733229,0.8861154446177847,
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c04,17.20969089390142,0.9806062272451457,206,1197,17.20969089390142,9.80952380952381,28,1,21,Poor,6.845260299530039,116.41509956837653,0.005193350815075903,0.7207109064752393,17.476676285689155,701.639180701829,15.181251829936901,0.021636835922919158,3.4226301497650193,0.05670872066909837,-0.13682333916321848,16.665067741234378,8.633966830954437,60,47,34,64,205,29.268292682926827,22.926829268292686,16.585365853658537,31.21951219512195,0.7073170731707317,
