video,date,batch,experiment_type,left_shelter_odor,right_shelter_odor,animal_id,time_left_shelter,time_right_shelter,time_open_area,percent_left,percent_right,percent_open,preferred_zone,preferred_odor,total_video_time,total_valid_time,total_frames,valid_frames,tracking_efficiency,avg_likelihood,frames_left_shelter,frames_right_shelter,error
Basler_G10_acA2040-90um (24827095)_20250831_150526766DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-31,10,Feces/Nothing,Feces,Nothing,individual_c04,0.5,0.0,328.0,0.15220700152207,0.0,99.84779299847793,left_shelter,Feces,600.5,328.5,1201,657,54.70441298917569,0.9628304259417808,1,0,
Basler_G10_acA2040-90um (24827095)_20250831_150526766DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-31,10,Feces/Nothing,Feces,Nothing,individual_c00,0.5,1.0,374.5,0.13297872340425532,0.26595744680851063,99.60106382978722,right_shelter,Nothing,600.5,376.0,1201,752,62.614487926727726,0.9668663511884973,1,2,
Basler_G10_acA2040-90um (24827095)_20250831_150526766DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-31,10,Feces/Nothing,Feces,Nothing,individual_c03,0.0,1.0,284.0,0.0,0.3508771929824561,99.64912280701755,right_shelter,Nothing,600.5,285.0,1201,570,47.460449625312236,0.9498817845394737,0,2,
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c01,0.0,0.5,457.5,0.0,0.10917030567685589,99.89082969432314,right_shelter,Nothing,600.5,458.0,1201,916,76.26977518734388,0.9794506089656113,0,1,
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c02,1.5,0.0,422.0,0.3541912632821724,0.0,99.64580873671783,left_shelter,Iso,600.5,423.5,1201,847,70.52456286427977,0.9759508513503542,3,0,
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c04,1.0,0.0,383.0,0.26041666666666663,0.0,99.73958333333334,left_shelter,Iso,600.5,384.0,1201,768,63.94671107410491,0.9797350565592448,2,0,
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c00,2.0,2.0,348.0,0.5681818181818182,0.5681818181818182,98.86363636363636,open_area,open_area,600.5,352.0,1201,704,58.61781848459617,0.9709833318536932,4,4,
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c03,0.5,0.5,350.5,0.1422475106685633,0.1422475106685633,99.71550497866288,open_area,open_area,600.5,351.5,1201,703,58.5345545378851,0.9783767114153628,1,1,
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c01,0.0,0.0,275.5,0.0,0.0,100.0,open_area,open_area,600.5,275.5,1201,551,45.87843463780183,0.9516796520530852,0,0,
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c02,0.5,0.0,398.5,0.12531328320802004,0.0,99.87468671679198,left_shelter,Iso,600.5,399.0,1201,798,66.44462947543714,0.9507307086074561,1,0,
