video,date,batch,experiment_type,left_shelter_odor,right_shelter_odor,animal_id,time_left_shelter,time_right_shelter,time_open_area,percent_left,percent_right,percent_open,preferred_zone,preferred_odor,total_video_time,total_frames,valid_frames,frames_left_shelter,frames_right_shelter,error
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c01,0.0,0.5,600.0,0.0,0.08326394671107411,99.91673605328893,right_shelter,Nothing,600.5,1201,926,0,1,
Basler_G01_acA2040-90um (24827095)_20250821_162405597DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-21,1,Iso/Nothing,Iso,Nothing,individual_c03,0.5,0.5,599.5,0.08326394671107411,0.08326394671107411,99.83347210657784,open_area,open_area,600.5,1201,709,1,1,
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c00,0.0,0.0,600.5,0.0,0.0,100.0,open_area,open_area,600.5,1201,708,0,0,
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c02,0.5,0.0,600.0,0.08326394671107411,0.0,99.91673605328893,left_shelter,Iso,600.5,1201,840,1,0,
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c04,0.5,1.5,598.5,0.08326394671107411,0.2497918401332223,99.6669442131557,right_shelter,Nothing,600.5,1201,573,1,3,
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c01,0.0,0.0,600.5,0.0,0.0,100.0,open_area,open_area,600.5,1201,563,0,0,
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c03,0.5,1.5,598.5,0.08326394671107411,0.2497918401332223,99.6669442131557,right_shelter,Nothing,600.5,1201,779,1,3,
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c00,3.0,0.0,597.5,0.4995836802664446,0.0,99.50041631973356,left_shelter,Iso,600.5,1201,914,6,0,
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c02,11.5,2.0,587.0,1.9150707743547042,0.33305578684429643,97.751873438801,left_shelter,Iso,600.5,1201,843,23,4,
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c04,0.5,2.5,597.5,0.08326394671107411,0.4163197335553705,99.50041631973356,right_shelter,Nothing,600.5,1201,657,1,5,
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c01,1.0,2.0,597.5,0.16652789342214822,0.33305578684429643,99.50041631973356,right_shelter,Nothing,600.5,1201,794,2,4,
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c03,0.0,0.0,600.5,0.0,0.0,100.0,open_area,open_area,600.5,1201,714,0,0,
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c00,0.5,0.5,599.5,0.08326394671107411,0.08326394671107411,99.83347210657784,open_area,open_area,600.5,1201,614,1,1,
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c02,0.0,0.0,600.5,0.0,0.0,100.0,open_area,open_area,600.5,1201,469,0,0,
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c04,0.0,0.0,600.5,0.0,0.0,100.0,open_area,open_area,600.5,1201,551,0,0,
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c01,0.0,0.0,600.5,0.0,0.0,100.0,open_area,open_area,600.5,1201,682,0,0,
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c03,0.0,0.0,600.5,0.0,0.0,100.0,open_area,open_area,600.5,1201,416,0,0,
