date,group,cockroach_id,video,experiment_type,left_stimulus,right_stimulus,time_left_shelter,time_right_shelter,time_open_area,percent_left,percent_right,percent_open,preferred_zone,preferred_stimulus,total_valid_time,valid_frames,total_frames,tracking_point,error
20250829,Group7,c00,Basler_c00_acA2040-90um (24827095)_20250829_125126265DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,0.0,1.0,364.0,0.0,0.273972602739726,99.72602739726028,right_shelter,Iso,365.0,730,1201,body_end,
20250829,Group7,c01,Basler_c01_acA2040-90um (24827095)_20250829_115401362DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,0.0,0.0,434.0,0.0,0.0,100.0,open_area,open_area,434.0,868,1201,body_end,
20250829,Group7,c02,Basler_c02_acA2040-90um (24827095)_20250829_123306184DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,3.0,2.5,507.5,0.5847953216374269,0.4873294346978557,98.92787524366472,left_shelter,Iso,513.0,1026,1201,body_end,
20250829,Group7,c03,Basler_c03_acA2040-90um (24827095)_20250829_121529352DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,1.0,0.0,485.5,0.20554984583761562,0.0,99.79445015416239,left_shelter,Nothing,486.5,973,1201,body_end,
20250829,Group7,c04,Basler_c04_acA2040-90um (24827095)_20250829_113153034DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,0.0,0.0,57.5,0.0,0.0,100.0,open_area,open_area,57.5,115,1201,body_end,
20250828,Group8,c00,Basler_c00_acA2040-90um (24827095)_20250828_112809766DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,1.5,4.0,424.5,0.3488372093023256,0.9302325581395349,98.72093023255813,right_shelter,Iso,430.0,860,1201,body_end,
20250828,Group8,c01,Basler_c01_acA2040-90um (24827095)_20250828_122245978DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,2.5,0.0,551.5,0.45126353790613716,0.0,99.54873646209387,left_shelter,Iso,554.0,1108,1201,body_end,
20250828,Group8,c02,Basler_c02_acA2040-90um (24827095)_20250828_120211006DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,0.0,0.0,270.5,0.0,0.0,100.0,open_area,open_area,270.5,541,1201,body_end,
20250828,Group8,c03,Basler_c03_acA2040-90um (24827095)_20250828_114501142DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,0.0,1.0,451.0,0.0,0.22123893805309736,99.77876106194691,right_shelter,Nothing,452.0,904,1201,body_end,
20250828,Group8,c04,Basler_c04_acA2040-90um (24827095)_20250828_124219702DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,8.0,2.0,426.0,1.834862385321101,0.45871559633027525,97.70642201834863,left_shelter,Nothing,436.0,872,1201,body_end,
20250831,Group9,c00,Basler_c00_acA2040-90um (24827095)_20250831_133735106DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,0.0,0.0,558.0,0.0,0.0,100.0,open_area,open_area,558.0,1116,1201,body_end,
20250831,Group9,c01,Basler_c01_acA2040-90um (24827095)_20250831_141329974DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,0.5,4.5,547.0,0.09057971014492754,0.8152173913043478,99.09420289855072,right_shelter,Nothing,552.0,1104,1201,body_end,
20250831,Group9,c02,Basler_c02_acA2040-90um (24827095)_20250831_131313168DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,0.0,0.0,537.5,0.0,0.0,100.0,open_area,open_area,537.5,1075,1201,body_end,
20250831,Group9,c03,Basler_c03_acA2040-90um (24827095)_20250831_142908253DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,0.5,1.0,357.5,0.1392757660167131,0.2785515320334262,99.58217270194986,right_shelter,Feces,359.0,718,1201,body_end,
20250831,Group9,c04,Basler_c04_acA2040-90um (24827095)_20250831_135712646DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,10.0,0.5,522.0,1.8779342723004695,0.09389671361502347,98.02816901408451,left_shelter,Nothing,532.5,1065,1201,body_end,
20250830,Group10,c00,Basler_c00_acA2040-90um (24827095)_20250830_150510999DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,4.0,2.0,453.5,0.8705114254624592,0.4352557127312296,98.69423286180631,left_shelter,Feces,459.5,919,1201,body_end,
20250830,Group10,c01,Basler_c01_acA2040-90um (24827095)_20250830_160029679DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,0.0,0.0,44.0,0.0,0.0,100.0,open_area,open_area,44.0,88,1201,body_end,
20250830,Group10,c02,Basler_c02_acA2040-90um (24827095)_20250830_161600473DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,3.0,2.5,504.0,0.5888125613346418,0.49067713444553485,98.92051030421982,left_shelter,Nothing,509.5,1019,1201,body_end,
20250830,Group10,c03,Basler_c03_acA2040-90um (24827095)_20250830_154112412DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,0.5,0.0,217.5,0.22935779816513763,0.0,99.77064220183486,left_shelter,Feces,218.0,436,1201,body_end,
20250830,Group10,c04,Basler_c04_acA2040-90um (24827095)_20250830_152322462DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,0.0,0.0,359.5,0.0,0.0,100.0,open_area,open_area,359.5,719,1201,body_end,
